"id","wbn","length","width","height","weight","volume","real_volume","mode","created_at_utc","created_at_ist"
6279,"1490826528483795","19.7","18.6","5.0","70.00","1227.468","1823.291","semi","2026-01-28T13:54:39.159Z","28-01-2026 19:24:39"
6278,"VL0083377508217","18.7","9.1","9.6","70.00","1500.239","1636.686","semi","2026-01-28T13:54:31.419Z","28-01-2026 19:24:31"
6277,"#76986","18.7","9.4","9.8","180.0","1552.367","1726.642","semi","2026-01-28T13:54:23.187Z","28-01-2026 19:24:23"
6276,"#76986","27.7","20.1","12.3","180.0","4047.473","6846.126","semi","2026-01-28T13:54:13.624Z","28-01-2026 19:24:13"
6275,"1490826582869186","16.0","13.7","4.9","190.0","733.557","1078.803","semi","2026-01-28T13:54:04.079Z","28-01-2026 19:24:04"
6274,"1490826645202506","25.1","19.9","3.7","","851.831","1862.799","semi","2026-01-28T13:53:35.693Z","28-01-2026 19:23:35"
6273,"1490826629683731","19.1","18.4","4.7","40.00","1101.588","1668.179","semi","2026-01-28T13:53:28.614Z","28-01-2026 19:23:28"
6272,"1490826569143332","21.1","17.4","7.1","110.0","1910.552","2620.371","semi","2026-01-28T13:53:21.499Z","28-01-2026 19:23:21"
6271,"1490826621483706","16.6","14.4","4.7","130.0","841.209","1131.418","semi","2026-01-28T13:53:13.745Z","28-01-2026 19:23:13"
6270,"1490826645200826","22.8","6.5","3.5","","412.989","515.380","semi","2026-01-28T13:53:09.234Z","28-01-2026 19:23:09"
6269,"1490826639825703","15.3","11.9","3.2","","251.589","586.586","semi","2026-01-28T13:53:04.249Z","28-01-2026 19:23:04"
6268,"1490826608890124","17.4","15.0","5.0","50.00","863.007","1301.059","semi","2026-01-28T13:52:59.754Z","28-01-2026 19:22:59"
6267,"1490826645200270","17.3","14.9","4.5","20.0","795.001","1150.065","semi","2026-01-28T13:52:49.681Z","28-01-2026 19:22:49"
6266,"1490826645200561","21.0","17.3","5.9","","1345.244","2152.746","semi","2026-01-28T13:52:45.445Z","28-01-2026 19:22:45"
6265,"1490826634675490","27.9","20.2","6.9","160.0","2315.501","3895.986","semi","2026-01-28T13:52:39.021Z","28-01-2026 19:22:39"
6264,"1490826599010243","11.6","10.5","6.5","340.0","427.962","790.817","semi","2026-01-28T13:52:34.833Z","28-01-2026 19:22:34"
6263,"1490826637912043","11.0","10.2","7.1","20.0","500.576","795.321","semi","2026-01-28T13:52:28.796Z","28-01-2026 19:22:28"
6262,"1490826637903816","19.5","17.5","6.5","30.00","1365.827","2200.693","semi","2026-01-28T13:52:23.433Z","28-01-2026 19:22:23"
6261,"1490826634666876","19.5","17.5","6.5","200.0","1365.827","2200.693","semi","2026-01-28T13:52:14.694Z","28-01-2026 19:22:14"
6260,"1490826527440471","31.0","21.1","6.5","","2406.035","4232.974","semi","2026-01-28T13:52:09.453Z","28-01-2026 19:22:09"
6259,"1490826569783084","16.4","9.9","5.6","70.00","777.570","910.325","semi","2026-01-28T13:52:00.265Z","28-01-2026 19:22:00"
6258,"1490826638023542","28.8","21.6","5.7","140.0","1635.193","3559.001","semi","2026-01-28T13:51:50.976Z","28-01-2026 19:21:50"
6257,"1490826556659020","22.1","17.8","5.6","50.00","1419.568","2186.553","semi","2026-01-28T13:51:44.009Z","28-01-2026 19:21:44"
6256,"1490826639266860","21.4","17.8","4.6","100.0","1337.117","1754.251","semi","2026-01-28T13:51:38.812Z","28-01-2026 19:21:38"
6255,"1490826639266414","21.3","17.8","7.4","90.00","1994.130","2816.725","semi","2026-01-28T13:51:34.858Z","28-01-2026 19:21:34"
6254,"1490826618795415","21.7","18.9","3.5","140.0","1005.405","1430.054","semi","2026-01-28T13:51:31.068Z","28-01-2026 19:21:31"
6253,"1490826620579752","21.4","15.3","6.4","120.0","1448.122","2100.506","semi","2026-01-28T13:51:25.957Z","28-01-2026 19:21:25"
6252,"1490826634675781","21.0","18.1","6.7","200.0","1774.738","2538.727","semi","2026-01-28T13:51:20.813Z","28-01-2026 19:21:20"
6251,"1490826618795253","20.8","16.1","6.2","140.0","1454.626","2071.798","semi","2026-01-28T13:51:16.383Z","28-01-2026 19:21:16"
6250,"1490826634666994","21.6","11.6","5.8","190.0","931.158","1447.383","semi","2026-01-28T13:51:09.234Z","28-01-2026 19:21:09"
6249,"1490710199750093","13.5","8.8","2.1","50.0","195.699","255.134","semi","2026-01-28T13:51:03.596Z","28-01-2026 19:21:03"
6248,"1490826639824701","14.5","5.1","4.2","","231.801","312.517","semi","2026-01-28T13:50:59.334Z","28-01-2026 19:20:59"
6247,"1490826639825342","21.7","17.4","6.0","","1420.076","2258.754","semi","2026-01-28T13:50:52.911Z","28-01-2026 19:20:52"
6246,"1490826621281793","15.0","14.9","1.6","190.0","276.683","351.817","semi","2026-01-28T13:50:46.824Z","28-01-2026 19:20:46"
6245,"1490826608890334","22.0","17.6","6.2","10.0","1263.219","2412.050","semi","2026-01-28T13:50:42.663Z","28-01-2026 19:20:42"
6244,"1490826634675792","20.7","18.1","7.7","200.0","1484.801","2899.424","semi","2026-01-28T13:50:39.203Z","28-01-2026 19:20:39"
6243,"1490826634667123","21.1","18.5","5.2","200.0","1475.149","2039.598","semi","2026-01-28T13:50:32.967Z","28-01-2026 19:20:32"
