NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Faridabad_PadamNagar_D (Haryana),Faridabad_PadamNagar_D (Haryana),ANY,ANY,ANY,ANY,Surface,Delhi_N,0010,0430;1130
Ahmedpur_IrrigationClny_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Bhokar_Himayatnagar_DPP (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Bhokar_Sydngr_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Degloor_SiddhartNagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Dharmabad_RamNagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Hingoli_AundhaNagnath_DPP (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Hingoli_Sengaon_DPP (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Hingoli_Tapdiyanagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Kinwat_Mahurrd_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Loha_Sidharthnagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Mahagaon_Central_DPP_1 (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Mahagaon_Umarkhed_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Mukhed_Mukramabad_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Mukhed_Naigaon1_DPP (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Mukhed_RajkamalNagar_DPP (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Nanded_AnandNagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Nanded_HarshNager_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Nanded_Wajegaon1_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Nanded_Wajegaon_H (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Parbhani_Gajanannagar_D (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
Pusad_Central_DPP_2 (Maharashtra),Nanded_Wajegaon_H (Maharashtra),E,ANY,ANY,ANY,Express,Pune_W,0010,0030;0430;2030;2230
