NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Aalo_Puakgumin_D (Arunachal Pradesh),Dibrugarh_Mohanbari_H (Assam),E,ANY,ANY,ANY,Express,Dibrugarh_E,0012,0030;0130;0730;1330;1830
Aalo_Puakgumin_D (Arunachal Pradesh),Tezpur_Dipota_H (Assam),S,ANY,ANY,ANY,Surface,Tezpur_E,0023,0030;0330;0830;1230;1500;2030;2330
Aalo_SiyomColony_D (Arunachal Pradesh),Dibrugarh_Mohanbari_H (Assam),E,ANY,ANY,ANY,Express,Dibrugarh_E,0012,0030;0130;0730;1330;1830
Aalo_SiyomColony_D (Arunachal Pradesh),Tezpur_Dipota_H (Assam),S,ANY,ANY,ANY,Surface,Tezpur_E,0023,0030;0330;0830;1230;1500;2030;2330
Aambasa_Manu_D (Tripura),Silchar_Ambikapur_H (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,0056,0030;0130;0730;1330;1830
Aambasa_Manu_D (Tripura),Silchar_Ambikapur_H (Assam),S,ANY,ANY,ANY,Surface,Silchar_E,0008,0030;0330;0830;1230;1500;2030;2330
Aambasa_Natunpalli_D (Tripura),Silchar_Ambikapur_H (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,0056,0030;0130;0730;1330;1830
Aambasa_Natunpalli_D (Tripura),Silchar_Ambikapur_H (Assam),S,ANY,ANY,ANY,Surface,Silchar_E,0008,0030;0330;0830;1230;1500;2030;2330
Abhanpur_DhamtariRoad_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,0046,0030;0130;0730;1330;1830
Abhanpur_DhamtariRoad_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,0046,0030;0330;0830;1230;1500;2030;2330
Abhanpur_Gatapr_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,0046,0030;0130;0730;1330;1830
Abhanpur_Gatapr_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,0046,0030;0330;0830;1230;1500;2030;2330
Abhanpur_MandirHasaud_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,0046,0030;0130;0730;1330;1830
Abhanpur_MandirHasaud_D (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,0046,0030;0330;0830;1230;1500;2030;2330
